#STN     LAT      LON  YYYY MM DD hh mm WDIR WSPD   GST WVHT  DPD APD MWD   PRES  PTDY  ATMP  WTMP  DEWP  VIS   TIDE
#text    deg      deg   yr mo day hr mn degT  m/s   m/s   m   sec sec degT   hPa   hPa  degC  degC  degC  nmi     ft
46025  33.749 -119.053 2014 08 23 04 50 290   3.0   5.0  1.1  11  8.5 189 1013.9  +0.8  19.6  22.2  16.5   MM     MM
46026  37.755 -122.839 2014 08 23 04 50 290   4.0   6.0  1.4   7  5.9 303     MM    MM  15.7    MM    MM   MM     MM
46027  41.850 -124.381 2014 08 23 04 50 360   8.0   9.0  2.5   7  5.5 311 1014.2  +1.4  10.9   9.8    MM   MM     MM
46028  35.741 -121.884 2014 08 23 04 50 320   6.0   8.0  1.5  11  6.9 185 1013.9  +0.4  16.3  17.7    MM   MM     MM
46029  46.159 -124.514 2014 08 23 04 50  10   3.0   5.0  1.2   8  6.3 287 1019.7  +0.5  15.2  16.0  15.2   MM     MM
46035  57.026 -177.738 2014 08 23 04 50  50   9.0  10.0  1.2   5  4.4  81 1012.7  -1.1  12.1  11.8    MM   MM     MM
46041  47.353 -124.731 2014 08 23 04 50 350   3.0   4.0  1.2   9  6.7 295 1019.9  +0.7  12.5  13.3    MM   MM     MM
46042  36.785 -122.469 2014 08 23 04 50 310   6.0   8.0  1.5  13  6.5 186 1014.6  +0.7  16.1  18.0    MM   MM     MM
46044  36.60  -122.30  2014 08 23 04 01  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM    MM    MM   MM     MM
46044  36.60  -122.30  2014 08 23 04 50 310   6.0   8.0  1.6  14  6.5 195 1014.2  +0.7  16.1    MM  14.2   MM     MM
46047  32.403 -119.536 2014 08 23 04 50 310   4.0   6.0  2.0  13  9.3 185 1014.3  +0.5  18.7  20.5    MM   MM     MM
46050  44.639 -124.534 2014 08 23 04 50  40   2.0   3.0  1.3   8  5.6 278 1019.0  +0.6  13.8  12.4    MM   MM     MM
46053  34.262 -119.879 2014 08 23 03 50 250   7.0   8.0   MM  MM   MM  MM 1013.8  +0.4  17.6  19.5    MM   MM     MM
46054  34.265 -120.477 2014 08 23 04 50 300   6.0   7.0  1.3  12  6.4 174 1013.5  +0.9  17.0  17.7    MM   MM     MM
46060  60.584 -146.784 2014 08 23 04 50 290   1.0   2.0  0.2  MM  6.5  MM 1023.6  +0.0  13.6  14.7    MM   MM     MM
46061  60.227 -146.834 2014 08 23 04 50 260   2.0   2.0  0.4  15  7.3 169 1023.2  +0.0  13.7  14.2    MM   MM     MM
46066  52.785 -155.047 2014 08 23 04 50 120   8.0  10.0  1.3   7  5.3 106 1020.0  -1.9  13.4  13.9    MM   MM     MM
46069  33.674 -120.212 2014 08 23 04 50 300   6.0   7.0  2.0  11  8.7  MM 1014.1  +0.7  17.4  20.4    MM   MM     MM
46070  55.083  175.270 2014 08 23 04 50  MM    MM    MM  1.1   6  4.5  MM 1013.8  -0.0  12.4  12.4    MM   MM     MM
46072  51.663 -172.162 2014 08 23 04 50 150  11.0  14.0  2.3   7  4.8  MM 1004.8  -1.2  11.5  12.1  10.6   MM     MM
46073  55.031 -172.001 2014 08 23 04 50 120   9.0  11.0  0.9   5  4.0  96 1008.7  -1.4  12.1  12.3  11.6   MM     MM
46075  53.911 -160.806 2014 08 23 04 50 110  10.0  13.0  2.0   8  4.9  MM 1016.1  -2.2  13.5  14.5  12.4   MM     MM
46076  59.498 -147.983 2014 08 23 04 50 340   1.0   2.0   MM  MM   MM  MM 1023.0  +0.0  13.6  14.2  12.6   MM     MM
46077  57.892 -154.291 2014 08 23 03 50 260   2.0   2.0  0.3   7   MM  MM 1023.2  +0.0  13.7  13.1    MM   MM     MM
46078  55.990 -152.640 2014 08 23 04 50 150   3.0   3.0  1.4   8  6.8 167 1023.9  +0.0  14.4  15.5    MM   MM     MM
46080  57.924 -149.865 2014 08 23 04 50 200   2.0   2.0  0.7  15  6.6  MM 1023.7  -0.3  11.7  13.7  11.7   MM     MM
46082  59.668 -143.392 2014 08 23 04 50 290   3.0   4.0  0.7  14  6.6  MM 1023.3  +0.0  13.6  14.9  11.5   MM     MM
46084  56.600 -136.101 2014 08 23 04 50 310   4.0   5.0  0.8  14  5.1  MM 1022.8  -0.5  14.9  15.0  12.2   MM     MM
46085  55.868 -142.492 2014 08 23 04 50  80   5.0   6.0  0.8  14   MM  MM 1022.5  -0.3  13.5  14.7  12.1   MM     MM
46086  32.491 -118.035 2014 08 23 04 50 330   2.0   3.0  1.4  11  9.2 200 1014.2  +0.9  19.7  21.6    MM   MM     MM
46087  48.494 -124.728 2014 08 23 04 50 250   2.0   3.0  1.4   8  6.8 286 1019.8  +0.6  10.4  11.3  10.4   MM     MM
46088  48.336 -123.159 2014 08 23 04 20 250   7.0   9.0  0.6   4   MM  MM 1018.1    MM  12.7  11.8  11.3   MM     MM
46089  45.893 -125.819 2014 08 23 04 50 360   6.0   8.0  1.6   8  5.3 300 1020.0  +0.6  17.5  18.3    MM   MM     MM
46096  46.173 -124.127 2014 08 23 04 30  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  13.1    MM   MM     MM
46114  36.717 -122.350 2014 08 23 04 49  MM    MM    MM  1.7  13  7.2 176     MM    MM    MM  18.0    MM   MM     MM
46126  53.951 -166.602 2014 08 23 04 30 100   3.0   5.0  0.1  MM   MM  MM 1012.6    MM  13.4  11.0    MM   MM     MM
46131  49.910 -124.990 2014 08 23 04 00 330   4.0   5.0  0.1   3   MM  MM 1017.6  +0.7  20.5  17.7    MM   MM     MM
46132  49.740 -127.930 2014 08 23 04 00 320   9.0  12.0  1.9   7   MM  MM 1019.8  +0.3  14.7  13.9    MM   MM     MM
46145  54.370 -132.440 2014 08 23 04 00 270   7.0   8.0  0.9   6   MM  MM 1021.7  -1.0  14.4  14.0    MM   MM     MM
46146  49.340 -123.730 2014 08 23 04 00  60   2.0   2.0  0.1   6   MM  MM 1017.5  +0.9  19.1  18.6    MM   MM     MM
46147  51.830 -131.220 2014 08 23 04 00 310   8.0   9.0  1.2   6   MM  MM 1022.7  +0.1  15.9  14.4    MM   MM     MM
46181  53.830 -128.830 2014 08 23 04 00 290   0.0   1.0  0.0   2   MM  MM 1019.9  -0.1  19.0  17.5    MM   MM     MM
46183  53.620 -131.100 2014 08 23 04 00  20   6.0   7.0  0.6   4   MM  MM 1021.2  -1.0  14.8  14.6    MM   MM     MM
46184  53.910 -138.850 2014 08 23 04 00 140   7.0   8.0  0.9  MM   MM  MM 1021.9  -1.7  14.1  14.9    MM   MM     MM
46185  52.420 -129.790 2014 08 23 04 00 310   6.0   7.0  0.7  14   MM  MM 1020.8  -0.7  15.2  15.0    MM   MM     MM
46205  54.160 -134.280 2014 08 23 04 00 360   4.0   4.0  0.9   6   MM  MM 1023.0  -0.9  15.4  16.7    MM   MM     MM
46206  48.840 -126.000 2014 08 23 04 00 290   5.0   6.0  1.0   8   MM  MM 1019.9  -0.1  12.8  13.9    MM   MM     MM
46207  50.870 -129.920 2014 08 23 04 00 310   7.0   8.0  1.3   6   MM  MM 1022.2  -0.1  16.8  16.7    MM   MM     MM
46208  52.520 -132.690 2014 08 23 04 00 310   7.0   8.0  1.2   7   MM  MM 1023.2  -0.1  16.1  17.1    MM   MM     MM
46211  46.858 -124.244 2014 08 23 04 43  MM    MM    MM  1.0   9  6.8 289     MM    MM    MM  13.1    MM   MM     MM
46213  40.294 -124.740 2014 08 23 04 39  MM    MM    MM  1.4  11  5.5 164     MM    MM    MM  12.4    MM   MM     MM
46214  37.946 -123.469 2014 08 23 04 56  MM    MM    MM  1.7   6  5.5 326     MM    MM    MM  15.6    MM   MM     MM
46215  35.204 -120.859 2014 08 23 04 35  MM    MM    MM  1.1  13  8.2 197     MM    MM    MM  15.1    MM   MM     MM
46216  34.333 -119.803 2014 08 23 04 12  MM    MM    MM  0.7  12  4.7 155     MM    MM    MM  17.6    MM   MM     MM
46217  34.167 -119.435 2014 08 23 04 37  MM    MM    MM  0.9  12  6.4 154     MM    MM    MM  19.3    MM   MM     MM
46218  34.458 -120.782 2014 08 23 03 59  MM    MM    MM  1.6  11  8.5 179     MM    MM    MM  18.1    MM   MM     MM
46219  33.221 -119.881 2014 08 23 04 35  MM    MM    MM  2.0  13  9.5 182     MM    MM    MM  19.4    MM   MM     MM
46221  33.855 -118.633 2014 08 23 04 55  MM    MM    MM  1.1  12  8.4 195     MM    MM    MM  22.2    MM   MM     MM
46222  33.618 -118.317 2014 08 23 04 36  MM    MM    MM  0.8  11  5.9 161     MM    MM    MM  20.7    MM   MM     MM
46223  33.459 -117.767 2014 08 23 04 37  MM    MM    MM  1.3  13  8.8 181     MM    MM    MM  22.4    MM   MM     MM
46224  33.179 -117.471 2014 08 23 04 12  MM    MM    MM  1.5  13 10.2 196     MM    MM    MM  22.9    MM   MM     MM
46225  32.930 -117.392 2014 08 23 04 36  MM    MM    MM  1.5  13 10.3 194     MM    MM    MM  23.1    MM   MM     MM
46229  43.767 -124.549 2014 08 23 04 56  MM    MM    MM  1.2   8  5.2 288     MM    MM    MM  17.3    MM   MM     MM
46231  32.747 -117.370 2014 08 23 04 29  MM    MM    MM  1.6  12 10.4 190     MM    MM    MM  23.1    MM   MM     MM
46232  32.530 -117.431 2014 08 23 04 33  MM    MM    MM  1.6  12 10.6 188     MM    MM    MM  23.3    MM   MM     MM
46236  36.761 -121.947 2014 08 23 04 32  MM    MM    MM  1.1   6  5.3 291     MM    MM    MM  17.3    MM   MM     MM
46237  37.786 -122.634 2014 08 23 04 42  MM    MM    MM  1.3  11  6.3 211     MM    MM    MM  17.2    MM   MM     MM
46239  36.342 -122.102 2014 08 23 04 29  MM    MM    MM  1.5  13  7.3 176     MM    MM    MM  17.3    MM   MM     MM
46240  36.626 -121.907 2014 08 23 03 51  MM    MM    MM  0.6   8  5.0 328     MM    MM    MM  16.4    MM   MM     MM
46242  33.220 -117.439 2014 08 23 04 26  MM    MM    MM  1.5  12 10.5 207     MM    MM    MM  22.9    MM   MM     MM
46243  46.215 -124.129 2014 08 23 04 46  MM    MM    MM  1.2   8  6.5 276     MM    MM    MM  14.8    MM   MM     MM
46248  46.133 -124.645 2014 08 23 04 51  MM    MM    MM  1.2   8  6.7 279     MM    MM    MM  16.5    MM   MM     MM
48214  70.871 -165.246 2014 08 23 04 30 200   6.0   8.0  1.4   6   MM  MM 1013.6    MM   7.1   5.9    MM   MM     MM
51000  23.546 -154.056 2014 08 23 04 50  50   9.0  10.0  2.1   8  5.8  MM 1021.3  +0.6  24.9  25.5    MM   MM     MM
51003  19.018 -160.582 2014 08 23 03 50  60   7.0   8.0  2.0   7   MM  MM 1013.3  -0.3  27.5  27.8    MM   MM     MM
51004  17.602 -152.395 2014 08 23 04 50  50   8.0  10.0  1.9  14  6.0 171 1012.1  +0.6  26.0  26.8  20.9   MM     MM
51100  23.558 -153.900 2014 08 23 04 50  60   7.0    MM   MM  MM   MM  MM     MM    MM  25.4    MM    MM   MM     MM
51201  21.669 -158.120 2014 08 23 04 50  MM    MM    MM  1.2   5  4.6  41     MM    MM    MM  27.3    MM   MM     MM
51202  21.414 -157.679 2014 08 23 04 37  MM    MM    MM  1.6   6  5.1  75     MM    MM    MM  27.0    MM   MM     MM
51204  21.281 -158.124 2014 08 23 04 56  MM    MM    MM  1.2  14  6.4 196     MM    MM    MM  27.3    MM   MM     MM
51205  21.018 -156.425 2014 08 23 04 37  MM    MM    MM  1.4   8  5.2  77     MM    MM    MM  26.6    MM   MM     MM
51207  21.477 -157.752 2014 08 23 04 54  MM    MM    MM  1.5   6  5.0  60     MM    MM    MM  26.7    MM   MM     MM
52200  13.354  144.788 2014 08 23 04 45  MM    MM    MM  0.5   9  6.0  88     MM    MM    MM  31.1    MM   MM     MM
52201   7.089  171.402 2014 08 23 04 53  MM    MM    MM  0.9   8  5.3 121     MM    MM    MM  30.1    MM   MM     MM
52202  13.683  144.812 2014 08 23 04 55  MM    MM    MM  0.5   8  5.2  64     MM    MM    MM  30.1    MM   MM     MM
52211  15.267  145.662 2014 08 23 04 54  MM    MM    MM  0.5   8  3.6  50     MM    MM    MM  29.9    MM   MM     MM
52834   6.82   160.21  2014 08 23 04 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  30.9    MM   MM     MM
52839  16.34   135.03  2014 08 23 04 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  32.6    MM   MM     MM
52841  21.47   143.10  2014 08 23 04 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  30.6    MM   MM     MM
52849  17.17   132.26  2014 08 23 04 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  33.2    MM   MM     MM
52901  20.38   137.97  2014 08 23 04 00  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  30.0    MM   MM     MM
61001  43.400    7.800 2014 08 23 03 00 240   6.2    MM  0.7   4   MM  MM 1012.4  -0.8  21.4  22.1  14.2   MM     MM
61002  42.102    4.703 2014 08 23 03 00  MM    MM    MM  0.8   3   MM  MM 1015.8  +0.8  19.8  21.5    MM   MM     MM
62001  45.230   -5.000 2014 08 23 04 00 310   5.1    MM  0.9   5   MM  MM 1019.3  -0.6  18.4  20.4  13.5   MM     MM
62027  49.082   -2.218 2014 08 23 03 00 270   6.2    MM  1.0  MM   MM  MM 1016.3  -0.6    MM    MM    MM   MM     MM
62029  48.720  -12.430 2014 08 23 04 00 310   5.1    MM  1.4  MM    5  MM 1019.5    MM  16.5  17.5  11.8   MM     MM
62081  51.000  -13.550 2014 08 23 04 00 120   4.6    MM  1.6  MM    7  MM 1018.7  -0.6  14.6  17.0  10.8   MM     MM
62095  53.040  -15.530 2014 08 23 04 00 130    MM    MM  1.7  MM    6  MM 1018.5  -0.9  14.4  15.5   9.9   MM     MM
62103  49.900   -2.900 2014 08 23 04 00 320   9.3    MM  0.6  MM    5  MM 1016.5  -0.3  14.6  16.4   9.6   27     MM
62105  55.420  -12.570 2014 08 23 04 00 360   4.6    MM  1.7  MM    6  MM 1019.3  -0.9  13.2  15.1   8.3   MM     MM
62107  50.103   -6.100 2014 08 23 04 00 300   5.1    MM  0.6  MM    6  MM 1017.3  -0.6  15.0  15.6   9.4   MM     MM
62114  58.300    0.100 2014 08 23 04 00 320  10.8    MM   MM  MM   MM  MM 1007.8  -0.2  11.7    MM   6.2   MM     MM
62121  53.500    2.700 2014 08 23 04 00  MM   5.1    MM   MM  MM   MM  MM 1010.5  -0.8  12.9    MM   6.6   MM     MM
62127  54.000    0.700 2014 08 23 04 00 300   4.6    MM  1.1  MM    8  MM 1010.9  -0.3  12.4    MM   8.0   MM     MM
62130  53.000    1.700 2014 08 23 04 00 330    MM    MM  1.6  MM   MM  MM 1005.2  -0.5  12.0    MM   7.3    5     MM
62144  53.400    1.700 2014 08 23 04 00 260   5.7    MM  1.0  MM    4  MM 1011.1  -0.8  13.2    MM   8.8   11     MM
62145  53.103    2.800 2014 08 23 04 00 260   5.1    MM  1.1  MM    4  MM 1011.0  -0.8  14.2    MM   6.8    5     MM
62146  53.800    2.800 2014 08 23 04 00 330  10.3    MM  1.5  MM    5  MM 1006.1  -0.1  12.2    MM   8.1   11     MM
62147  57.603    1.700 2014 08 23 04 00 320    MM    MM   MM  MM   MM  MM 1009.1  +0.1  11.5    MM    MM   11     MM
62148  53.600    1.500 2014 08 23 04 00 280   6.2    MM   MM  MM   MM  MM 1011.5  -0.8  13.0    MM   8.2   MM     MM
62149  53.700    1.100 2014 08 23 04 00 290   6.2    MM  1.2  MM    8  MM 1011.2  -0.5  12.8    MM   8.4   27     MM
62150  53.600    0.700 2014 08 23 04 00 280   6.7    MM  1.1  MM    9  MM 1012.2  -0.3  11.6    MM    MM   27     MM
62163  47.550   -8.470 2014 08 23 04 00 280   2.6    MM  1.2  MM    6  MM 1019.1  -0.7    MM  18.6   7.7   MM     MM
62164  57.201    0.500 2014 08 23 04 00 330   9.8    MM  1.6  MM    5  MM 1007.8  -0.1  13.1  13.4   8.3   11     MM
62165  54.000    1.100 2014 08 23 04 00 290   4.1    MM  1.1  MM    8  MM 1010.8  -0.2  13.1    MM   9.0   27     MM
62166  57.201    0.500 2014 08 23 04 00 280    MM    MM   MM  MM   MM  MM     MM    MM  13.7    MM   9.6   11     MM
62301  52.220   -4.420 2014 08 23 04 00 310   7.2    MM  0.9  MM    3  MM 1015.3  -0.1  13.4    MM   8.8   MM     MM
62303  51.603   -5.100 2014 08 23 04 00  MM    MM    MM  0.7  MM    4  MM     MM    MM    MM    MM    MM   MM     MM
62304  51.103    1.800 2014 08 23 04 00 310   6.2    MM  0.3  MM    6  MM 1013.5  +0.3  14.7  17.6   9.6   11     MM
62305  50.400    0.000 2014 08 23 04 00 310   6.2    MM  0.4  MM    5  MM 1014.5  +0.1  14.7  17.4   8.7   27     MM
63105  61.000    1.700 2014 08 23 04 00 360   8.2    MM   MM  MM   MM  MM 1004.1  -1.0  12.2    MM   4.5   27     MM
63110  59.500    1.500 2014 08 23 04 00 330   9.3    MM  2.1  MM    5  MM 1004.2  -0.5  13.4    MM   9.5   11     MM
63112  61.103    0.000 2014 08 23 04 00 360   6.7    MM  1.4  MM    5  MM 1004.6  -0.9  11.8    MM   6.8   11     MM
63113  61.000    1.700 2014 08 23 04 00 350   8.2    MM  1.8  MM    5  MM 1003.9  -0.9  12.0    MM   6.8   MM     MM
63117  61.400    1.200 2014 08 23 04 00 360   6.7    MM   MM  MM   MM  MM 1005.0  -1.0    MM    MM    MM   11     MM
64045  59.070  -11.420 2014 08 23 04 00 330   5.7    MM  1.6  MM    5  MM 1017.3  -0.7  11.2  12.8   5.3   MM     MM
64046  60.483   -4.167 2014 08 23 04 00 330   7.2    MM  1.7  MM    5  MM 1011.1    MM  11.0  11.4   6.7   MM     MM
AAMC1  37.772 -122.300 2014 08 23 04 48 250   1.5   3.6   MM  MM   MM  MM 1013.6    MM  15.9  20.9    MM   MM     MM
ACXS1  32.559  -80.454 2014 08 23 03 45  MM   0.0    MM   MM  MM   MM  MM 1015.0    MM  27.6    MM  26.2   MM     MM
ACYN4  39.357  -74.418 2014 08 23 04 48  MM    MM    MM   MM  MM   MM  MM 1015.3    MM  22.1  24.1    MM   MM     MM
ADKA2  51.861 -176.637 2014 08 23 04 48  90   3.6   5.1   MM  MM   MM  MM 1003.2    MM  10.2   8.0    MM   MM     MM
AGCM4  42.621  -82.527 2014 08 23 04 48  MM    MM    MM   MM  MM   MM  MM 1016.7    MM  18.1    MM    MM   MM     MM
AGMW3  44.608  -87.433 2014 08 23 03 53  MM   0.0   0.0   MM  MM   MM  MM     MM    MM    MM    MM    MM   MM     MM
ALIA2  56.898 -154.247 2014 08 23 04 48 280   1.5   2.1   MM  MM   MM  MM 1023.8    MM  15.2  14.9    MM   MM     MM
ALXN6  44.331  -75.934 2014 08 23 04 48  MM    MM    MM   MM  MM   MM  MM 1017.8    MM    MM  20.4    MM   MM     MM
AMAA2  58.915 -151.952 2014 08 23 05 00 240   5.1   5.1   MM  MM   MM  MM 1023.0  +0.0  13.5    MM  13.5   MM     MM
AMRL1  29.450  -91.338 2014 08 23 04 48  MM   0.0   1.0   MM  MM   MM  MM 1016.8    MM  28.2  30.2    MM   MM     MM
ANMN6  42.018  -73.917 2014 08 23 04 30  MM    MM    MM   MM  MM   MM  MM 1018.0    MM  18.4    MM  17.1   MM     MM
ANTA2  61.238 -149.890 2014 08 23 04 48 260   1.0   1.5   MM  MM   MM  MM 1022.5    MM  14.9  14.3    MM   MM     MM
ANVC1  38.915 -123.711 2014 08 23 04 48 320   1.5   3.1   MM  MM   MM  MM 1012.8    MM  14.6  14.7    MM   MM     MM
APAM2  38.983  -76.479 2014 08 23 04 48  MM    MM    MM   MM  MM   MM  MM 1016.0    MM  22.9    MM    MM   MM     MM
APCF1  29.724  -84.980 2014 08 23 04 48 300   0.5   2.1   MM  MM   MM  MM 1016.2    MM  26.8  30.4    MM   MM     MM
APNM4  45.060  -83.424 2014 08 23 04 45 220   0.5   0.5   MM  MM   MM  MM     MM    MM  17.3    MM    MM   MM     MM
APRP7  13.444  144.657 2014 08 23 04 48  80   2.6   4.1   MM  MM   MM  MM 1009.2    MM  31.5  30.8    MM   MM     MM
APXF1  29.791  -84.884 2014 08 23 03 45 320   1.0    MM   MM  MM   MM  MM 1017.0    MM  24.4    MM  23.6   MM     MM
AROP4  18.480  -66.702 2014 08 23 04 48  MM   0.0   0.0   MM  MM   MM  MM     MM    MM  24.4    MM    MM   MM     MM
ARPF1  28.433  -82.667 2014 08 23 03 54 110   0.5   1.0   MM  MM   MM  MM 1016.2    MM  26.8    MM    MM   MM     MM
ASTO3  46.207 -123.768 2014 08 23 04 48 170   1.0   2.6   MM  MM   MM  MM 1020.6    MM  15.1  21.3    MM   MM     MM
ATGM1  44.392  -68.204 2014 08 23 04 48 300   0.5   1.5   MM  MM   MM  MM 1019.7    MM  17.4    MM    MM   MM     MM
ATKA2  52.232 -174.173 2014 08 23 04 48 140   3.1   5.1   MM  MM   MM  MM 1004.7    MM  11.9    MM    MM   MM     MM
AUGA2  59.378 -153.348 2014 08 23 05 00 320   2.6   2.6   MM  MM   MM  MM 1023.3  +0.0  11.3    MM    MM   MM     MM
AWRT2  28.227  -96.796 2014 08 23 04 48 140   5.7   6.7   MM  MM   MM  MM 1015.8    MM    MM  30.2    MM   MM     MM
BABT2  27.297  -97.405 2014 08 23 04 48 130   4.1   5.7   MM  MM   MM  MM 1015.7    MM    MM  28.6    MM   MM     MM
BARA9  17.591  -61.821 2014 08 23 04 48 110   4.1   6.7   MM  MM   MM  MM 1013.5    MM    MM    MM    MM   MM     MM
BARN6  42.345  -79.595 2014 08 23 03 00 180   0.5   1.0   MM  MM   MM  MM 1016.3    MM  21.1    MM    MM   MM     MM
BATN6  40.701  -74.014 2014 08 23 04 48  MM    MM    MM   MM  MM   MM  MM 1017.1    MM  20.9  22.6    MM   MM     MM
BDRN4  40.082  -74.870 2014 08 23 04 48  MM    MM    MM   MM  MM   MM  MM 1016.7    MM  20.8  24.6    MM   MM     MM
BEPB6  32.374  -64.701 2014 08 23 04 48 260   8.8  10.8   MM  MM   MM  MM 1013.6    MM  27.4  28.1    MM   MM     MM
BFTN7  34.717  -76.671 2014 08 23 04 48 360   3.1   3.1   MM  MM   MM  MM 1013.7    MM  27.6  28.7    MM   MM     MM
BGCF1  26.404  -81.881 2014 08 23 03 54  60   0.5   1.5   MM  MM   MM  MM 1016.6    MM    MM    MM    MM   MM   2.21
BGNN4  40.639  -74.146 2014 08 23 04 48 100   2.6   3.1   MM  MM   MM  MM 1017.6    MM  21.1  23.1    MM   MM     MM
BHBM3  42.355  -71.050 2014 08 23 04 48  MM    MM    MM   MM  MM   MM  MM     MM    MM  18.2  19.0    MM   MM     MM
BIGM4  46.827  -87.727 2014 08 23 04 40  50   1.5   2.6   MM  MM   MM  MM 1016.6    MM  15.3    MM    MM   MM     MM
BISM2  38.220  -76.039 2014 08 23 04 48  70   4.1   5.7   MM  MM   MM  MM 1015.4    MM  22.3  25.8    MM   MM     MM
BKBF1  30.192  -81.692 2014 08 23 04 48 230   2.1   2.6   MM  MM   MM  MM 1015.0    MM  27.9  30.5    MM   MM     MM
BKTL1  30.190  -93.301 2014 08 23 04 42  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  32.1    MM   MM     MM
BLIA2  60.839 -146.884 2014 08 23 05 00  MM   0.0   0.0   MM  MM   MM  MM 1023.1  +0.3  12.5    MM    MM   MM     MM
BLIF1  30.393  -81.523 2014 08 23 04 48 210   1.5   2.6   MM  MM   MM  MM 1015.2    MM  28.6    MM  23.6  5.9     MM
BLTA2  58.455 -135.889 2014 08 23 04 00 200   2.1    MM   MM  MM   MM  MM 1022.0  -1.1  12.8    MM  10.0   MM     MM
BLTM3  41.704  -71.174 2014 08 23 04 48  10   3.6   4.6   MM  MM   MM  MM 1018.0    MM  19.1    MM    MM   MM     MM
BRHC3  41.174  -73.181 2014 08 23 04 48  40   2.1   3.1   MM  MM   MM  MM 1017.2    MM  20.0  23.7    MM   MM     MM
BSBM4  44.055  -86.514 2014 08 23 04 40 120   3.6   5.7   MM  MM   MM  MM 1017.3    MM  22.4    MM    MM   MM     MM
BSCA1  30.329  -87.829 2014 08 23 04 30 270   4.6    MM   MM  MM   MM  MM 1016.9    MM  30.5    MM    MM   MM     MM
BSLM2  38.781  -76.708 2014 08 23 03 30  40   0.5    MM   MM  MM   MM  MM 1016.0    MM  22.2    MM  20.5   MM     MM
BUFN6  42.878  -78.890 2014 08 23 04 48  40   3.1   4.1   MM  MM   MM  MM 1015.4    MM  20.2    MM  16.3   MM     MM
BURL1  28.906  -89.429 2014 08 23 05 00 210   3.1   3.6   MM  MM   MM  MM 1017.5  +0.0  29.4    MM  23.9   MM     MM
BUZM3  41.397  -71.033 2014 08 23 04 00  40   7.2   8.2   MM  MM   MM  MM 1018.8  -0.3    MM    MM    MM   MM     MM
BYGL1  29.789  -90.420 2014 08 23 04 48 270   1.0   1.5   MM  MM   MM  MM 1016.4    MM  26.8  31.7    MM   MM     MM
BZBM3  41.524  -70.671 2014 08 23 04 48  MM    MM    MM   MM  MM   MM  MM 1017.9    MM  18.8  20.7    MM   MM     MM
CAMF1  27.765  -82.649 2014 08 23 03 54 100   0.5   1.0   MM  MM   MM  MM     MM    MM  30.3    MM    MM   MM     MM
CAMM2  38.574  -76.069 2014 08 23 04 48  60   4.6   5.7   MM  MM   MM  MM 1015.6    MM  21.9  26.3    MM   MM     MM
CAPL1  29.768  -93.343 2014 08 23 04 48 220   6.2   7.2   MM  MM   MM  MM 1017.8    MM  30.1  31.5    MM   MM     MM
CARL1  29.933  -90.135 2014 08 23 04 48  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  29.4    MM   MM     MM
CASM1  43.656  -70.246 2014 08 23 04 48  MM    MM    MM   MM  MM   MM  MM 1020.0    MM  15.8  15.3    MM   MM     MM
CBBV2  36.967  -76.114 2014 08 23 04 48  40   6.7   7.7   MM  MM   MM  MM 1014.1    MM  24.6  25.2    MM   MM     MM
CBRW3  45.198  -87.360 2014 08 23 04 40  80   0.5   1.0   MM  MM   MM  MM 1016.6    MM  20.2    MM    MM   MM     MM
CDEA2  56.001 -134.136 2014 08 23 04 00 280   9.3  11.8   MM  MM   MM  MM 1021.3  -0.7  13.3    MM  11.7   MM     MM
CDRF1  29.136  -83.029 2014 08 23 05 00  20   1.0   1.5   MM  MM   MM  MM 1016.2  -0.3  29.5    MM  25.5   MM     MM
CECC1  41.746 -124.184 2014 08 23 04 48 170   5.7   6.7   MM  MM   MM  MM 1013.6    MM  15.4  14.2    MM   MM     MM
CFWM1  44.657  -67.205 2014 08 23 04 48  50   1.0   2.6   MM  MM   MM  MM 1019.4    MM  16.6    MM    MM   MM     MM
CGCL1  28.791  -89.056 2014 08 23 04 30  MM    MM    MM   MM  MM   MM  MM     MM    MM  29.9    MM  22.7   MM     MM
CHAO3  43.345 -124.323 2014 08 23 04 36  20   3.6   5.1   MM  MM   MM  MM 1018.4    MM    MM  12.0    MM   MM     MM
CHAV3  18.335  -64.920 2014 08 23 04 48  80   1.5   2.6   MM  MM   MM  MM 1013.1    MM    MM  29.2    MM   MM     MM
CHCM2  39.527  -75.810 2014 08 23 04 48  60   2.1   3.1   MM  MM   MM  MM 1016.1    MM  21.0  26.3    MM   MM     MM
CHDS1  33.661  -82.199 2014 08 23 04 40 310   2.6   3.6   MM  MM   MM  MM     MM    MM  29.7    MM    MM   MM     MM
CHII2  41.916  -87.572 2014 08 23 04 45  70   1.5   2.1   MM  MM   MM  MM     MM    MM  23.3    MM    MM   MM     MM
