#STN     LAT      LON  YYYY MM DD hh mm WDIR WSPD   GST WVHT  DPD APD MWD   PRES  PTDY  ATMP  WTMP  DEWP  VIS   TIDE
#text    deg      deg   yr mo day hr mn degT  m/s   m/s   m   sec sec degT   hPa   hPa  degC  degC  degC  nmi     ft
41053  18.474  -66.099 2014 08 23 04 00 140   3.0   4.0  1.1   8   MM  MM 1011.7  +0.8  27.2  28.6    MM   MM     MM
41056  18.259  -65.457 2014 08 23 04 00 140   6.0   7.0   MM  MM   MM  MM 1012.0  +0.6  27.0  28.5    MM   MM     MM
41060  14.825  -50.017 2014 08 23 04 50  MM    MM    MM  1.3   9  5.4 133     MM    MM    MM    MM    MM   MM     MM
41063  34.798  -75.945 2014 08 23 04 00  MM   4.0   5.0   MM  MM   MM  MM 1013.9  +0.0    MM    MM    MM   MM     MM
41108  33.721  -78.015 2014 08 23 04 41  MM    MM    MM  0.4   5  4.2 179     MM    MM    MM  29.3    MM   MM     MM
41110  34.141  -77.709 2014 08 23 04 40  MM    MM    MM  0.5   3  3.0 208     MM    MM    MM  28.4    MM   MM     MM
41112  30.709  -81.292 2014 08 23 04 52  MM    MM    MM  0.3   9  3.5  92     MM    MM    MM  28.7    MM   MM     MM
41113  28.400  -80.533 2014 08 23 04 39  MM    MM    MM  0.3   7  3.8 104     MM    MM    MM  27.8    MM   MM     MM
41114  27.551  -80.220 2014 08 23 04 55  MM    MM    MM  0.3   9  3.8  77     MM    MM    MM  28.8    MM   MM     MM
41115  18.376  -67.280 2014 08 23 04 34  MM    MM    MM  0.9   4  4.5 223     MM    MM    MM  28.9    MM   MM     MM
41139  20.00   -37.86  2014 08 23 04 00 110   5.7    MM   MM  MM   MM  MM 1015.6    MM  25.7  26.2    MM   MM     MM
41670  30.48   -43.38  2014 08 23 04 43  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  28.2    MM   MM     MM
41852  26.16   -45.78  2014 08 23 02 30  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  27.9    MM   MM     MM
42001  25.888  -89.658 2014 08 23 04 50  90   5.0   5.0  0.8   5  4.1  MM 1017.2  +0.0  29.5  30.1  25.3   MM     MM
42002  26.091  -93.758 2014 08 23 04 50 110   7.0   8.0  0.7   4  3.8 127 1016.3  +0.0  29.5  30.0  24.6   MM     MM
42012  30.065  -87.555 2014 08 23 04 50 260   6.0   7.0  0.2  MM  3.1  MM 1016.4  +0.0  30.1  30.5    MM   MM     MM
42019  27.907  -95.353 2014 08 23 04 50 140   6.0   7.0  0.6   6  3.6 168 1016.7  -0.5  29.4  29.5  25.3   MM     MM
42020  26.968  -96.694 2014 08 23 04 50 140   7.0   8.0  0.8   4  3.7 135 1015.4  +0.0  29.4  29.2  25.1   MM     MM
42036  28.500  -84.517 2014 08 23 04 50 300   3.0   4.0  0.2  MM  4.0  MM 1016.0  +0.0  29.7  30.5  24.6   MM     MM
42039  28.794  -86.006 2014 08 23 04 50 270   1.0   2.0  0.3   8  4.4  MM 1016.5  +0.0  29.9  31.1  24.8   MM     MM
42040  29.212  -88.207 2014 08 23 04 50 220   3.0   4.0  0.2  MM  4.6  MM 1017.1    MM  30.0  31.5    MM   MM     MM
42055  22.203  -94.000 2014 08 23 04 50  80   6.0   7.0  0.8   6  4.2  74 1015.2  +0.5  29.6  30.4  25.3   MM     MM
42056  19.802  -84.857 2014 08 23 04 50  50   6.0   7.0  0.8   5  4.3  88 1014.0  +0.7  29.5  29.9  25.4   MM     MM
42057  17.002  -81.501 2014 08 23 04 50  30   5.0   5.0  0.9   7  5.2  81 1012.6  +0.0  28.6  28.7  25.0   MM     MM
42058  14.923  -74.918 2014 08 23 04 50 350   1.0   2.0  1.3   7  5.9  61 1010.5  +0.0  28.1  28.8  25.0   MM     MM
42059  15.186  -67.478 2014 08 23 04 50 120   7.0   9.0  0.9   7  4.2  47 1010.4  +0.0  28.2  28.6  25.1   MM     MM
42060  16.332  -63.240 2014 08 23 03 50 130   7.0   8.0  1.4   9   MM  MM 1012.9  +0.7  28.0  28.5  25.3   MM     MM
42085  17.860  -66.524 2014 08 23 04 00 110   7.0   8.0  1.1   7   MM  MM 1011.2    MM    MM  28.9    MM   MM     MM
42099  27.340  -84.275 2014 08 23 04 52  MM    MM    MM  0.3   8  3.7 211     MM    MM    MM  31.4    MM   MM     MM
42360  26.696  -90.508 2014 08 23 04 00 110   8.0  10.0  0.6   5   MM  MM 1017.4  +0.6  29.5  31.7    MM   MM     MM
42361  27.546  -92.443 2014 08 23 04 30 120   5.0    MM   MM  MM   MM  MM 1016.9  -0.4  29.4    MM  24.4   MM     MM
42363  28.170  -89.223 2014 08 23 04 30  MM    MM    MM   MM  MM   MM  MM 1017.6    MM  28.9    MM  21.7   MM     MM
42364  29.065  -88.092 2014 08 23 04 30  MM    MM    MM   MM  MM   MM  MM 1016.9  +0.3  29.4    MM  23.3   MM     MM
42365  28.154  -89.104 2014 08 23 04 30 200   2.0    MM   MM  MM   MM  MM     MM    MM  29.3    MM  23.0   MM     MM
42375  28.521  -88.289 2014 08 23 04 00  MM    MM    MM  0.4   4   MM  MM     MM    MM    MM    MM    MM   MM     MM
42390  26.129  -94.898 2014 08 23 04 30  MM    MM    MM   MM  MM   MM  MM 1016.3  -0.3  29.4    MM  23.9   MM     MM
42392  27.196  -90.027 2014 08 23 04 00  MM    MM    MM  0.5   3   MM  MM     MM    MM    MM    MM    MM   MM     MM
42394  28.156  -89.236 2014 08 23 04 30 230   3.0    MM   MM  MM   MM  MM     MM    MM  29.1    MM  24.1   MM     MM
42887  28.191  -88.496 2014 08 23 04 00 160   1.0    MM  0.5   7   MM  MM     MM    MM  31.0    MM    MM   MM     MM
44005  43.204  -69.128 2014 08 23 04 50  MM   4.0   5.0  0.8   8  4.7  MM 1018.8  -0.3  17.3  19.6  15.7   MM     MM
44007  43.531  -70.144 2014 08 23 04 50 360   3.0   4.0  0.6   8  5.1 141 1019.9  -0.4  16.5  16.3  14.6   MM     MM
44009  38.461  -74.703 2014 08 23 04 50  MM    MM    MM  1.0   7  4.5  81 1015.2  +0.0  23.0  24.1  20.4   MM     MM
44013  42.346  -70.651 2014 08 23 04 50  60   6.0   7.0  0.8   5  4.2  54 1019.2  +0.0  18.3  19.1  18.3   MM     MM
44014  36.611  -74.842 2014 08 23 04 50  50   5.0   5.0  0.7   7   MM  MM 1013.6  +0.3  25.2  25.6  22.1   MM     MM
44017  40.694  -72.048 2014 08 23 04 50  MM    MM    MM  1.6   6  4.7 100 1017.0  +0.3  19.8  21.2    MM   MM     MM
44020  41.443  -70.186 2014 08 23 04 50  70   5.0   6.0  0.4   4  3.7  85 1017.4  +0.0  18.4  21.4  17.2   MM     MM
44022  40.883  -73.728 2014 08 23 04 45 110   5.0   6.0   MM  MM   MM  MM     MM    MM  21.1  22.8  14.9   MM     MM
44024  42.331  -65.907 2014 08 23 04 04 360   6.0   7.0  1.1   5   MM  MM 1016.4    MM  17.0  17.9    MM  1.6     MM
44027  44.287  -67.307 2014 08 23 04 50  MM    MM    MM  0.6   8  6.0  MM 1019.1  -0.3  13.8    MM    MM   MM     MM
44029  42.522  -70.566 2014 08 23 04 04  60   6.0   7.0  1.0   5   MM  MM     MM    MM  18.8  19.3    MM  1.6     MM
44030  43.181  -70.428 2014 08 23 04 04  50   4.0   5.0  0.9   5   MM  MM 1018.9    MM  16.7  17.9    MM  1.6     MM
44032  43.715  -69.358 2014 08 23 04 04 340   2.0   3.0  0.7   6   MM  MM 1019.4    MM  15.1  14.4    MM  1.6     MM
44033  44.056  -68.997 2014 08 23 04 04 350   3.0   3.0  0.5   8   MM  MM 1018.9    MM  18.0  17.9    MM  1.6     MM
44034  44.106  -68.109 2014 08 23 04 04  10   5.0   5.0  0.7   8   MM  MM 1018.6    MM  14.7  13.0    MM  1.6     MM
44037  43.491  -67.880 2014 08 23 04 04  30   6.0   7.0  0.9   8   MM  MM 1017.9    MM  17.8  17.9    MM  1.6     MM
44039  41.138  -72.655 2014 08 23 04 30  60   7.0   8.0  0.4   3   MM  MM     MM    MM  20.1  22.4  17.4   MM     MM
44040  40.956  -73.580 2014 08 23 04 45 100   4.0   5.0  0.5   4   MM  MM     MM    MM  20.9    MM  15.7   MM     MM
44041  37.204  -76.778 2014 08 23 04 50  70   2.0   3.0   MM  MM   MM  MM     MM    MM  23.0    MM    MM   MM     MM
44042  38.033  -76.336 2014 08 23 04 50 110   6.0   7.0   MM  MM   MM  MM 1014.8    MM  23.9    MM    MM   MM     MM
44043  39.152  -76.391 2014 08 23 04 50 110   6.0   7.0   MM  MM   MM  MM 1017.1    MM  22.8    MM    MM   MM     MM
44056  36.200  -75.714 2014 08 23 04 53  MM    MM    MM  0.6   7  4.4  55     MM    MM    MM    MM    MM   MM     MM
44057  39.540  -76.073 2014 08 23 04 50 110   5.0    MM   MM  MM   MM  MM 1016.4    MM  22.2    MM    MM   MM     MM
44058  37.551  -76.257 2014 08 23 04 50  90   6.0   7.0   MM  MM   MM  MM 1015.8    MM  24.3    MM    MM   MM     MM
44059  36.846  -76.298 2014 08 23 04 50 110   2.0   3.0   MM  MM   MM  MM 1013.6    MM  24.6    MM    MM   MM     MM
44060  41.263  -72.067 2014 08 23 04 30  50   6.0   7.0   MM  MM   MM  MM     MM    MM  19.3  19.8  16.5   MM     MM
44061  38.788  -77.036 2014 08 23 04 50 110   2.0   4.0   MM  MM   MM  MM 1015.8    MM  23.3    MM    MM   MM     MM
44062  38.556  -76.415 2014 08 23 04 50 110   5.0   6.0   MM  MM   MM  MM 1016.5    MM  22.9    MM    MM   MM     MM
44063  38.963  -76.448 2014 08 23 04 50 110   6.0   7.0   MM  MM   MM  MM 1016.5    MM  23.0    MM    MM   MM     MM
44064  36.974  -76.046 2014 08 23 04 50  50   6.0   7.0   MM  MM   MM  MM 1014.6    MM  24.8    MM    MM   MM     MM
44066  39.584  -72.600 2014 08 23 04 50  50   7.0   9.0  1.2   5  4.5  54 1015.8  -0.0  21.5  22.3  18.8   MM     MM
44068  37.314  -77.191 2014 08 23 04 50  80   2.0   3.0   MM  MM   MM  MM     MM    MM  25.2  28.3    MM   MM     MM
44092  42.942  -70.632 2014 08 23 04 47  MM    MM    MM  0.9   5  4.4 107     MM    MM    MM  17.8    MM   MM     MM
44093  36.872  -75.492 2014 08 23 04 51  MM    MM    MM  0.8   7  4.1  57     MM    MM    MM  25.5    MM   MM     MM
44095  35.750  -75.330 2014 08 23 04 47  MM    MM    MM  0.6   7  4.4  62     MM    MM    MM  26.6    MM   MM     MM
